id	FT10_mean
8335	100
6680	99.25
6198	88.25
9572	111.25
6094	101.75
9991	90.5
8234	102.6666667
6013	93.75
9757	93.75
5831	99.5
9953	88
1257	94.66666667
8222	100
9717	90.25
9974	94
6111	111.75
6920	86.75
9582	95.75
6919	76.75
6097	114.5
9890	96
9978	80.25
9747	86
8247	98
8369	98
1061	97.75
6106	102
9650	83.25
9905	89.75
9671	90.5
7008	95.5
8306	102.5
6413	104.25
9405	103.5
9896	79.5
9992	92.25
6969	91.25
1363	104.75
2202	97.75
9569	99
6073	102.25
9888	86.25
7252	112.6666667
9730	89
7181	96.75
7126	95.5
9898	97.75
5349	92
9091	99.75
8351	103
9538	82.5
9848	85.75
6288	87.5
9634	91
9603	96
9075	93.25
9380	101
9819	98
8237	97.25
9063	97.75
1829	94.75
6109	100.75
6149	106
6118	98.25
9098	99.75
9673	87.5
9081	91.25
9524	97.25
9849	99
9746	95.75
10013	92.25
9555	93.5
9592	95
6125	106.25
992	116
4958	91.25
9752	91.75
9082	91.25
6134	110
9114	99.75
6086	100.5
9545	83.5
6173	91.75
1954	93
9066	95.25
9085	103
5865	109.75
9625	91.75
9073	93.25
9867	101.75
6150	111.3333333
9587	101
9079	101
1317	104.25
9121	105.25
9434	110.25
6132	106
9901	117
9061	97.25
9455	93.25
6201	94.25
9536	99
9383	99.33333333
9452	101.5
9421	107
8230	110.3333333
6140	98.75
1585	103.5
6964	94.75
6151	99.5
9567	113
6102	122.3333333
6184	93.66666667
6017	96.5
9720	100.75
8376	103
9554	94
9078	100.25
9952	86
9570	105
9954	97.5
6090	94.75
6098	112.25
9753	101.25
6107	119
6177	99
6148	105
10012	113.5
1254	92
9553	100.75
9872	105.5
6124	129.5
9576	106
9549	91
991	110.5
9667	89
6209	94
9542	90
6142	98.5
9607	88.75
9064	94.75
1137	111.25
9386	115.5
9722	99.5
6171	103.25
6244	90.75
7354	100.25
6100	102
8231	100.75
9532	106
9903	108
6237	106
9593	109.5
6104	100
9568	103.75
9664	85.5
9951	98.75
9973	94.25
9119	97.5
6221	108
9945	113.5
9902	98
9677	81.75
9394	110.6666667
6076	121.5
9942	65.66666667
9594	95
9382	99
9616	93.5
9870	100.5
9989	103.5
5822	112.75
6145	116
9666	86.5
9557	107.25
9988	95.5
6011	97.33333333
9670	105.5
9099	100.25
6128	122.3333333
9442	104.75
6965	94.66666667
9095	104
6009	103
6169	116
9451	107.5
6099	117
7517	115
6172	110.5
9084	103.75
9861	107.5
9558	96.5
9904	107.5
9839	102.75
1552	104
9605	104
6024	106.75
9878	113.25
6153	149.25
8422	116.75
9339	104.5
9675	78
6901	95.5
7516	105
6046	117.25
6220	103
6241	96.25
9871	105
9356	100.5
9866	104.75
9124	104.5
9395	104.5
9581	111
9885	116.25
9409	108.25
6070	106.75
9427	96.75
9993	97.75
6203	108
9846	116
9840	100.5
9520	113.5
9481	110.5
9096	105
6900	116
9090	89.5
9716	102.6666667
1318	89.75
9530	90.5
9551	102
9058	113.25
9577	99.5
9858	120.75
6238	104.5
9408	108.25
6210	100.75
6012	102
9947	104.5
9120	105.5
6974	108.75
9089	88.66666667
6240	98.25
9476	120.25
6258	119.25
6217	111.25
6174	100
6088	107.6666667
6202	109.75
6085	124.25
9836	109.5
6268	115
6030	107.25
9332	114.25
9416	135.5
6064	103.6666667
9453	106.5
9067	101.75
6043	110
6129	109.75
10006	113.5
6284	117.5
10014	96.75
8242	116.75
5506	125
9550	130.25
6127	124
9566	104
9353	126
9352	127.75
9604	109.25
9575	118.5
6131	119
6218	124
9388	127.25
9433	138
9454	101.25
6069	107.25
6071	120.75
9631	98.5
9321	106.75
9636	109.75
9824	115.5
6276	131
9851	119.5
9371	129.25
9754	79.25
9891	83
8258	93
7075	96
9586	97.5
9381	98.25
6019	103.5
8266	105
9948	105
6231	109.25
9574	112
5856	119
6235	119.5
8227	120
6913	120.6666667
9564	122.25
6252	122.75
6918	123
9877	124.75
1066	128
9548	128
9552	128.75
6025	129.25
5867	130.5
6113	132.6666667
6255	134
9363	134
6216	134.5
6166	144
6917	144
9546	148.5
6154	149.3333333
9889	153.5
5470	154.6666667
6163	157.5
6906	55.75
6972	79.5
7111	86
7417	86.33333333
9330	90.5
